specie,Record Number,Process,QDB Process,Theory or Experiment,data type,Projectile Element,Projectile Charge State,Target Molecule,Target Charge State,Initial Excited State B,Products,Original X Unit,Original Y Unit,Reference Number,Author(s),Title of Record,Journal Name,Volume and Issue No,Page Numbers,Date of Publication,Process Title
3He,10286, charge transfer,HCX, E, CS, 3He,2, CH4,0,, 3He+, eV, cm2, 1985C405, Rudd### M.E.$Goffe### T.V.$Itoh### A., Ionization cross sections for 10-300-keV/u and electron-capture cross sections for 5-150-keV/u 3He2+ ions in gases, Phys. Rev. A,32, 2128-2133,1985, 3He2+ + CH4 --> 3He+
3He,10287, charge transfer,HCX, E, CS, 3He,2, CO2,0,, 3He+, eV, cm2, 1985C405, Rudd### M.E.$Goffe### T.V.$Itoh### A., Ionization cross sections for 10-300-keV/u and electron-capture cross sections for 5-150-keV/u 3He2+ ions in gases, Phys. Rev. A,32, 2128-2133,1985, 3He2+ + CO2 --> 3He+
3He,10288, charge transfer,HCX, E, CS, 3He,2, H2O,0,, 3He+, eV, cm2, 1985C405, Rudd### M.E.$Goffe### T.V.$Itoh### A., Ionization cross sections for 10-300-keV/u and electron-capture cross sections for 5-150-keV/u 3He2+ ions in gases, Phys. Rev. A,32, 2128-2133,1985, 3He2+ + H2O --> 3He+
3He,10289, charge transfer,HCX, E, CS, 3He,2, H2,0,, 3He, eV, cm2, 1985C405, Rudd### M.E.$Goffe### T.V.$Itoh### A., Ionization cross sections for 10-300-keV/u and electron-capture cross sections for 5-150-keV/u 3He2+ ions in gases, Phys. Rev. A,32, 2128-2133,1985, 3He2+ + H2 --> 3He
3He,10293, charge transfer,HCX, E, CS, 3He,2, CH4,0,, 3He, eV, cm2, 1985C405, Rudd### M.E.$Goffe### T.V.$Itoh### A., Ionization cross sections for 10-300-keV/u and electron-capture cross sections for 5-150-keV/u 3He2+ ions in gases, Phys. Rev. A,32, 2128-2133,1985, 3He2+ + CH4 --> 3He
3He,10294, charge transfer,HCX, E, CS, 3He,2, CO2,0,, 3He, eV, cm2, 1985C405, Rudd### M.E.$Goffe### T.V.$Itoh### A., Ionization cross sections for 10-300-keV/u and electron-capture cross sections for 5-150-keV/u 3He2+ ions in gases, Phys. Rev. A,32, 2128-2133,1985, 3He2+ + CO2 --> 3He
3He,10295, charge transfer,HCX, E, CS, 3He,2, H2O,0,, 3He, eV, cm2, 1985C405, Rudd### M.E.$Goffe### T.V.$Itoh### A., Ionization cross sections for 10-300-keV/u and electron-capture cross sections for 5-150-keV/u 3He2+ ions in gases, Phys. Rev. A,32, 2128-2133,1985, 3He2+ + H2O --> 3He
Ar,10047, charge transfer,HCX, E, CS, Ar,1, H2,0,, Ar;H2+, eV, cm2, 1956C373, Gilbody### H.B.$Hasted### J.B., Anomalies in the adiabatic interpretation of charge-transfer collisions, Proc. R. Soc. London A,238,334,1956, Ar+ + H2 --> Ar+H2+
Ar,10051, charge transfer,HCX, E, CS, Ar,1, N2,0,, Ar;N2+, eV, cm2, 1956C373, Gilbody### H.B.$Hasted### J.B., Anomalies in the adiabatic interpretation of charge-transfer collisions, Proc. R. Soc. London A,238,334,1956, Ar+ + N2 --> Ar+N2+
Ar,10426, dissociation;dissociative ionization,HDI, E, CS, Ar,1, N2,0,, Ar;N;N+, eV, cm2, 1990C397, Flesch### G.D.$Ng### C.Y., Observation of the formation of N+ and ArN+ in the collisions of Ar+(2P3/2.1/2) with N2, J. Chem. Phys.,92, 2876-2882,1990, Ar+ (2P3/2) + N2 --> Ar+N+N+
